"location_id","location_name","co","no2","o3","pm10","pm25","so2","datetimeUtc","datetimeLocal","timezone","latitude","longitude","country_iso","isMobile","isMonitor","owner_name","provider"
"2161312","Xuân Tảo","429.5","42.7","","18.3","13.9","","2025-02-02T03:00:00Z","2025-02-02T10:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","418","28.1","","16.8","12.8","","2025-02-02T04:00:00Z","2025-02-02T11:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","362.5","19.4","","19.1","14.8","","2025-02-02T05:00:00Z","2025-02-02T12:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","346","16.2","","20.7","16.3","","2025-02-02T06:00:00Z","2025-02-02T13:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","217.4","14.3","","18.3","13.5","","2025-02-02T07:00:00Z","2025-02-02T14:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","288.1","12.1","","17.8","13.7","","2025-02-02T08:00:00Z","2025-02-02T15:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","471.9","21.3","","17.4","13","","2025-02-02T09:00:00Z","2025-02-02T16:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","487","14.1","","17.9","13.8","","2025-02-02T10:00:00Z","2025-02-02T17:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","347.3","17.7","","16.7","12.8","","2025-02-02T11:00:00Z","2025-02-02T18:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","351","22.3","","19.1","14.4","","2025-02-02T12:00:00Z","2025-02-02T19:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","355.1","28.5","","21.7","16.4","","2025-02-02T13:00:00Z","2025-02-02T20:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","294.4","23.2","","21.8","16.5","","2025-02-02T14:00:00Z","2025-02-02T21:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","210.5","22.8","","22.7","17.2","","2025-02-02T15:00:00Z","2025-02-02T22:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","174.1","21.2","","18.1","13.7","","2025-02-02T16:00:00Z","2025-02-02T23:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
